id,visitors
air_0164b9927d20bcc3_2017-04-26,7.8392
air_0164b9927d20bcc3_2017-04-27,7.4995
air_0164b9927d20bcc3_2017-04-28,7.3132
air_0164b9927d20bcc3_2017-04-29,3.2896
air_0164b9927d20bcc3_2017-04-30,5.5780
air_0164b9927d20bcc3_2017-05-01,5.7167
air_0164b9927d20bcc3_2017-05-02,6.8845
air_0164b9927d20bcc3_2017-05-03,3.0000
air_0164b9927d20bcc3_2017-05-04,3.0000
air_0164b9927d20bcc3_2017-05-05,14.8904
air_0164b9927d20bcc3_2017-05-06,3.2896
air_0164b9927d20bcc3_2017-05-07,5.5780
air_0164b9927d20bcc3_2017-05-08,5.1167
air_0164b9927d20bcc3_2017-05-09,7.0845
air_0164b9927d20bcc3_2017-05-10,7.4392
air_0164b9927d20bcc3_2017-05-11,6.6995
air_0164b9927d20bcc3_2017-05-12,7.3132
air_0164b9927d20bcc3_2017-05-13,5.2896
air_0164b9927d20bcc3_2017-05-14,5.5780
air_0164b9927d20bcc3_2017-05-15,5.1167
air_0164b9927d20bcc3_2017-05-16,6.4845
air_0164b9927d20bcc3_2017-05-17,7.4392
air_0164b9927d20bcc3_2017-05-18,6.6995
air_0164b9927d20bcc3_2017-05-19,7.3132
air_0164b9927d20bcc3_2017-05-20,3.2896
air_0164b9927d20bcc3_2017-05-21,5.5780
air_0164b9927d20bcc3_2017-05-22,5.1167
air_0164b9927d20bcc3_2017-05-23,6.4845
air_0164b9927d20bcc3_2017-05-24,7.4392
air_0164b9927d20bcc3_2017-05-25,6.6995
air_0164b9927d20bcc3_2017-05-26,7.3132
air_0164b9927d20bcc3_2017-05-27,3.2896
air_0164b9927d20bcc3_2017-05-28,5.5780
air_0164b9927d20bcc3_2017-05-29,5.1167
air_0164b9927d20bcc3_2017-05-30,6.4845
air_0164b9927d20bcc3_2017-05-31,7.4392
air_0241aa3964b7f861_2017-04-23,8.1626
air_0241aa3964b7f861_2017-04-24,7.1044
air_0241aa3964b7f861_2017-04-25,6.8435
air_0241aa3964b7f861_2017-04-26,7.9623
air_0241aa3964b7f861_2017-04-27,3.7537
air_0241aa3964b7f861_2017-04-28,6.6652
air_0241aa3964b7f861_2017-04-29,9.8014
air_0241aa3964b7f861_2017-04-30,8.1626
air_0241aa3964b7f861_2017-05-01,7.1044
air_0241aa3964b7f861_2017-05-02,6.8435
air_0241aa3964b7f861_2017-05-03,19.9842
air_0241aa3964b7f861_2017-05-04,1.0000
air_0241aa3964b7f861_2017-05-05,6.0012
air_0241aa3964b7f861_2017-05-06,9.8014
air_0241aa3964b7f861_2017-05-07,8.1626
air_0241aa3964b7f861_2017-05-08,7.1044
air_0241aa3964b7f861_2017-05-09,6.8435
air_0241aa3964b7f861_2017-05-10,7.9623
air_0241aa3964b7f861_2017-05-11,3.7537
air_0241aa3964b7f861_2017-05-12,6.6652
air_0241aa3964b7f861_2017-05-13,9.8014
air_0241aa3964b7f861_2017-05-14,8.1626
air_0241aa3964b7f861_2017-05-15,7.1044
air_0241aa3964b7f861_2017-05-16,6.8435
air_0241aa3964b7f861_2017-05-17,7.9623
air_0241aa3964b7f861_2017-05-18,3.7537
air_0241aa3964b7f861_2017-05-19,6.6652
air_0241aa3964b7f861_2017-05-20,9.8014
air_0241aa3964b7f861_2017-05-21,8.1626
air_0241aa3964b7f861_2017-05-22,7.1044
air_0241aa3964b7f861_2017-05-23,6.8435
air_0241aa3964b7f861_2017-05-24,7.9623
air_0241aa3964b7f861_2017-05-25,3.7537
air_0241aa3964b7f861_2017-05-26,6.6652
air_0241aa3964b7f861_2017-05-27,9.8014
air_0241aa3964b7f861_2017-05-28,8.1626
air_0241aa3964b7f861_2017-05-29,7.1044
air_0241aa3964b7f861_2017-05-30,6.8435
air_0241aa3964b7f861_2017-05-31,7.9623
air_0328696196e46f18_2017-04-23,8.2314
air_0328696196e46f18_2017-04-24,3.4238
air_0328696196e46f18_2017-04-25,5.7388
air_0328696196e46f18_2017-04-26,7.3894
air_0328696196e46f18_2017-04-27,7.5603
air_0328696196e46f18_2017-04-28,7.6867
air_0328696196e46f18_2017-04-29,5.8386
air_0328696196e46f18_2017-04-30,8.2314
air_0328696196e46f18_2017-05-01,3.4238
air_0328696196e46f18_2017-05-02,5.7388
air_0328696196e46f18_2017-05-03,8.0000
air_0328696196e46f18_2017-05-04,10.0000
air_0328696196e46f18_2017-05-05,7.6867
air_0328696196e46f18_2017-05-06,5.8386
air_0328696196e46f18_2017-05-07,8.2314
air_0328696196e46f18_2017-05-08,3.4238
air_0328696196e46f18_2017-05-09,5.7388
air_0328696196e46f18_2017-05-10,7.3894
air_0328696196e46f18_2017-05-11,7.5603
air_0328696196e46f18_2017-05-12,7.6867
air_0328696196e46f18_2017-05-13,5.8386
air_0328696196e46f18_2017-05-14,8.2314
air_0328696196e46f18_2017-05-15,3.4238
air_0328696196e46f18_2017-05-16,5.7388
air_0328696196e46f18_2017-05-17,7.3894
air_0328696196e46f18_2017-05-18,7.5603
air_0328696196e46f18_2017-05-19,7.6867
air_0328696196e46f18_2017-05-20,5.8386
air_0328696196e46f18_2017-05-21,8.2314
air_0328696196e46f18_2017-05-22,3.4238
air_0328696196e46f18_2017-05-23,5.7388
air_0328696196e46f18_2017-05-24,7.3894
air_0328696196e46f18_2017-05-25,7.5603
air_0328696196e46f18_2017-05-26,7.6867
air_0328696196e46f18_2017-05-27,5.8386
air_0328696196e46f18_2017-05-28,8.2314
air_0328696196e46f18_2017-05-29,3.4238
air_0328696196e46f18_2017-05-30,5.7388
air_0328696196e46f18_2017-05-31,7.3894
air_034a3d5b40d5b1b1_2017-04-23,26.3056
air_034a3d5b40d5b1b1_2017-04-24,12.9210
air_034a3d5b40d5b1b1_2017-04-25,12.5366
air_034a3d5b40d5b1b1_2017-04-26,16.4577
air_034a3d5b40d5b1b1_2017-04-27,13.6317
air_034a3d5b40d5b1b1_2017-04-28,18.2959
air_034a3d5b40d5b1b1_2017-04-29,25.5023
air_034a3d5b40d5b1b1_2017-04-30,26.3056
air_034a3d5b40d5b1b1_2017-05-01,12.9210
air_034a3d5b40d5b1b1_2017-05-02,12.5366
air_034a3d5b40d5b1b1_2017-05-03,2.0000
air_034a3d5b40d5b1b1_2017-05-04,12.8541
air_034a3d5b40d5b1b1_2017-05-05,22.0000
air_034a3d5b40d5b1b1_2017-05-06,25.5023
air_034a3d5b40d5b1b1_2017-05-07,26.3056
air_034a3d5b40d5b1b1_2017-05-08,12.9210
air_034a3d5b40d5b1b1_2017-05-09,12.5366
air_034a3d5b40d5b1b1_2017-05-10,16.4577
air_034a3d5b40d5b1b1_2017-05-11,13.6317
air_034a3d5b40d5b1b1_2017-05-12,18.2959
air_034a3d5b40d5b1b1_2017-05-13,25.5023
air_034a3d5b40d5b1b1_2017-05-14,26.3056
air_034a3d5b40d5b1b1_2017-05-15,12.9210
air_034a3d5b40d5b1b1_2017-05-16,12.5366
air_034a3d5b40d5b1b1_2017-05-17,16.4577
air_034a3d5b40d5b1b1_2017-05-18,13.6317
air_034a3d5b40d5b1b1_2017-05-19,18.2959
air_034a3d5b40d5b1b1_2017-05-20,25.5023
air_034a3d5b40d5b1b1_2017-05-21,26.3056
air_034a3d5b40d5b1b1_2017-05-22,12.9210
air_034a3d5b40d5b1b1_2017-05-23,12.5366
air_034a3d5b40d5b1b1_2017-05-24,16.4577
air_034a3d5b40d5b1b1_2017-05-25,13.6317
air_034a3d5b40d5b1b1_2017-05-26,18.2959
air_034a3d5b40d5b1b1_2017-05-27,25.5023
air_034a3d5b40d5b1b1_2017-05-28,26.3056
air_034a3d5b40d5b1b1_2017-05-29,12.9210
air_034a3d5b40d5b1b1_2017-05-30,12.5366
air_034a3d5b40d5b1b1_2017-05-31,16.4577
air_036d4f1ee7285390_2017-04-23,18.3211
air_036d4f1ee7285390_2017-04-24,13.7552
air_036d4f1ee7285390_2017-04-25,17.7364
air_036d4f1ee7285390_2017-04-26,20.7614
air_036d4f1ee7285390_2017-04-27,14.0784
air_036d4f1ee7285390_2017-04-28,17.0645
air_036d4f1ee7285390_2017-04-29,18.6561
air_036d4f1ee7285390_2017-04-30,18.3211
air_036d4f1ee7285390_2017-05-01,13.7552
air_036d4f1ee7285390_2017-05-02,17.7364
air_036d4f1ee7285390_2017-05-03,18.0000
air_036d4f1ee7285390_2017-05-04,15.7906
air_036d4f1ee7285390_2017-05-05,4.0000
air_036d4f1ee7285390_2017-05-06,18.6561
air_036d4f1ee7285390_2017-05-07,18.3211
air_036d4f1ee7285390_2017-05-08,13.7552
air_036d4f1ee7285390_2017-05-09,17.7364
air_036d4f1ee7285390_2017-05-10,20.7614
air_036d4f1ee7285390_2017-05-11,14.0784
air_036d4f1ee7285390_2017-05-12,17.0645
air_036d4f1ee7285390_2017-05-13,18.6561
air_036d4f1ee7285390_2017-05-14,18.3211
air_036d4f1ee7285390_2017-05-15,13.7552
air_036d4f1ee7285390_2017-05-16,17.7364
air_036d4f1ee7285390_2017-05-17,20.7614
air_036d4f1ee7285390_2017-05-18,14.0784
air_036d4f1ee7285390_2017-05-19,17.0645
air_036d4f1ee7285390_2017-05-20,18.6561
air_036d4f1ee7285390_2017-05-21,18.3211
air_036d4f1ee7285390_2017-05-22,13.7552
air_036d4f1ee7285390_2017-05-23,17.7364
air_036d4f1ee7285390_2017-05-24,20.7614
air_036d4f1ee7285390_2017-05-25,14.0784
air_036d4f1ee7285390_2017-05-26,17.0645
air_036d4f1ee7285390_2017-05-27,18.6561
air_036d4f1ee7285390_2017-05-28,18.3211
air_036d4f1ee7285390_2017-05-29,13.7552
air_036d4f1ee7285390_2017-05-30,17.7364
air_036d4f1ee7285390_2017-05-31,20.7614
air_0382c794b73b51ad_2017-04-23,36.7560
air_0382c794b73b51ad_2017-04-24,24.9947
air_0382c794b73b51ad_2017-04-25,27.2139
air_0382c794b73b51ad_2017-04-26,23.4864
air_0382c794b73b51ad_2017-04-27,24.7428
air_0382c794b73b51ad_2017-04-28,25.8243
air_0382c794b73b51ad_2017-04-29,35.0912
air_0382c794b73b51ad_2017-04-30,36.7560
air_0382c794b73b51ad_2017-05-01,24.9947
air_0382c794b73b51ad_2017-05-02,27.2139
air_0382c794b73b51ad_2017-05-03,23.4864
air_0382c794b73b51ad_2017-05-04,31.5084
air_0382c794b73b51ad_2017-05-05,26.0412
air_0382c794b73b51ad_2017-05-06,35.0912
air_0382c794b73b51ad_2017-05-07,36.7560
air_0382c794b73b51ad_2017-05-08,24.9947
air_0382c794b73b51ad_2017-05-09,27.2139
air_0382c794b73b51ad_2017-05-10,23.4864
air_0382c794b73b51ad_2017-05-11,24.7428
air_0382c794b73b51ad_2017-05-12,25.8243
air_0382c794b73b51ad_2017-05-13,35.0912
air_0382c794b73b51ad_2017-05-14,36.7560
air_0382c794b73b51ad_2017-05-15,24.9947
air_0382c794b73b51ad_2017-05-16,27.2139
air_0382c794b73b51ad_2017-05-17,23.4864
air_0382c794b73b51ad_2017-05-18,24.7428
air_0382c794b73b51ad_2017-05-19,25.8243
air_0382c794b73b51ad_2017-05-20,35.0912
air_0382c794b73b51ad_2017-05-21,36.7560
air_0382c794b73b51ad_2017-05-22,24.9947
air_0382c794b73b51ad_2017-05-23,27.2139
air_0382c794b73b51ad_2017-05-24,23.4864
air_0382c794b73b51ad_2017-05-25,24.7428
air_0382c794b73b51ad_2017-05-26,25.8243
air_0382c794b73b51ad_2017-05-27,35.0912
air_0382c794b73b51ad_2017-05-28,36.7560
air_0382c794b73b51ad_2017-05-29,24.9947
air_0382c794b73b51ad_2017-05-30,27.2139
air_0382c794b73b51ad_2017-05-31,23.4864
air_03963426c9312048_2017-04-23,14.8024
air_03963426c9312048_2017-04-24,19.6149
air_03963426c9312048_2017-04-25,17.6169
air_03963426c9312048_2017-04-26,21.5892
air_03963426c9312048_2017-04-27,19.0167
air_03963426c9312048_2017-04-28,55.3843
air_03963426c9312048_2017-04-29,49.1010
air_03963426c9312048_2017-04-30,14.8024
air_03963426c9312048_2017-05-01,23.6149
air_03963426c9312048_2017-05-02,21.6169
air_03963426c9312048_2017-05-03,13.4076
air_03963426c9312048_2017-05-04,27.6345
air_03963426c9312048_2017-05-05,48.3940
air_03963426c9312048_2017-05-06,45.5010
air_03963426c9312048_2017-05-07,14.8024
air_03963426c9312048_2017-05-08,21.4149
air_03963426c9312048_2017-05-09,17.6169
air_03963426c9312048_2017-05-10,16.7892
air_03963426c9312048_2017-05-11,18.6167
air_03963426c9312048_2017-05-12,53.1843
air_03963426c9312048_2017-05-13,44.7010
air_03963426c9312048_2017-05-14,14.8024
air_03963426c9312048_2017-05-15,19.0149
air_03963426c9312048_2017-05-16,17.6169
air_03963426c9312048_2017-05-17,16.7892
air_03963426c9312048_2017-05-18,18.6167
air_03963426c9312048_2017-05-19,55.9843
air_03963426c9312048_2017-05-20,44.7010
air_03963426c9312048_2017-05-21,14.8024
air_03963426c9312048_2017-05-22,18.0149
air_03963426c9312048_2017-05-23,17.6169
air_03963426c9312048_2017-05-24,16.7892
air_03963426c9312048_2017-05-25,18.6167
air_03963426c9312048_2017-05-26,55.1843
air_03963426c9312048_2017-05-27,44.7010
air_03963426c9312048_2017-05-28,14.8024
air_03963426c9312048_2017-05-29,18.0149
air_03963426c9312048_2017-05-30,17.6169
air_03963426c9312048_2017-05-31,16.7892
air_04341b588bde96cd_2017-04-23,39.3607
air_04341b588bde96cd_2017-04-24,33.3435
air_04341b588bde96cd_2017-04-25,28.1551
air_04341b588bde96cd_2017-04-26,29.4711
air_04341b588bde96cd_2017-04-27,22.1242
air_04341b588bde96cd_2017-04-28,44.4115
air_04341b588bde96cd_2017-04-29,44.4059
air_04341b588bde96cd_2017-04-30,39.3607
air_04341b588bde96cd_2017-05-01,33.3435
air_04341b588bde96cd_2017-05-02,28.1551
air_04341b588bde96cd_2017-05-03,47.0134
air_04341b588bde96cd_2017-05-04,33.1558
air_04341b588bde96cd_2017-05-05,41.2173
air_04341b588bde96cd_2017-05-06,44.4059
air_04341b588bde96cd_2017-05-07,39.3607
air_04341b588bde96cd_2017-05-08,33.3435
air_04341b588bde96cd_2017-05-09,28.1551
air_04341b588bde96cd_2017-05-10,29.4711
air_04341b588bde96cd_2017-05-11,22.1242
air_04341b588bde96cd_2017-05-12,44.4115
air_04341b588bde96cd_2017-05-13,44.4059
air_04341b588bde96cd_2017-05-14,39.3607
air_04341b588bde96cd_2017-05-15,33.3435
air_04341b588bde96cd_2017-05-16,28.1551
air_04341b588bde96cd_2017-05-17,29.4711
air_04341b588bde96cd_2017-05-18,22.1242
air_04341b588bde96cd_2017-05-19,44.4115
air_04341b588bde96cd_2017-05-20,44.4059
air_04341b588bde96cd_2017-05-21,39.3607
air_04341b588bde96cd_2017-05-22,33.3435
air_04341b588bde96cd_2017-05-23,28.1551
air_04341b588bde96cd_2017-05-24,29.4711
air_04341b588bde96cd_2017-05-25,22.1242
air_04341b588bde96cd_2017-05-26,44.4115
air_04341b588bde96cd_2017-05-27,44.4059
air_04341b588bde96cd_2017-05-28,39.3607
air_04341b588bde96cd_2017-05-29,33.3435
air_04341b588bde96cd_2017-05-30,28.1551
air_04341b588bde96cd_2017-05-31,29.4711
air_049f6d5b402a31b2_2017-04-23,2.9152
air_049f6d5b402a31b2_2017-04-24,9.1568
air_049f6d5b402a31b2_2017-04-25,6.4757
air_049f6d5b402a31b2_2017-04-26,10.6663
air_049f6d5b402a31b2_2017-04-27,8.2374
air_049f6d5b402a31b2_2017-04-28,12.7467
air_049f6d5b402a31b2_2017-04-29,19.5709
air_049f6d5b402a31b2_2017-04-30,2.9152
air_049f6d5b402a31b2_2017-05-01,9.1568
air_049f6d5b402a31b2_2017-05-02,6.4757
air_049f6d5b402a31b2_2017-05-03,16.0000
air_049f6d5b402a31b2_2017-05-04,15.9218
air_049f6d5b402a31b2_2017-05-05,15.0101
air_049f6d5b402a31b2_2017-05-06,19.5709
air_049f6d5b402a31b2_2017-05-07,2.9152
air_049f6d5b402a31b2_2017-05-08,9.1568
air_049f6d5b402a31b2_2017-05-09,6.4757
air_049f6d5b402a31b2_2017-05-10,10.6663
air_049f6d5b402a31b2_2017-05-11,8.2374
air_049f6d5b402a31b2_2017-05-12,12.7467
air_049f6d5b402a31b2_2017-05-13,19.5709
air_049f6d5b402a31b2_2017-05-14,2.9152
air_049f6d5b402a31b2_2017-05-15,9.1568
air_049f6d5b402a31b2_2017-05-16,6.4757
air_049f6d5b402a31b2_2017-05-17,10.6663
air_049f6d5b402a31b2_2017-05-18,8.2374
air_049f6d5b402a31b2_2017-05-19,12.7467
air_049f6d5b402a31b2_2017-05-20,19.5709
air_049f6d5b402a31b2_2017-05-21,2.9152
air_049f6d5b402a31b2_2017-05-22,9.1568
air_049f6d5b402a31b2_2017-05-23,6.4757
air_049f6d5b402a31b2_2017-05-24,10.6663
air_049f6d5b402a31b2_2017-05-25,8.2374
air_049f6d5b402a31b2_2017-05-26,12.7467
air_049f6d5b402a31b2_2017-05-27,19.5709
air_049f6d5b402a31b2_2017-05-28,2.9152
air_049f6d5b402a31b2_2017-05-29,9.1568
air_049f6d5b402a31b2_2017-05-30,6.4757
air_049f6d5b402a31b2_2017-05-31,10.6663
air_04cae7c1bc9b2a0b_2017-04-23,17.4573
air_04cae7c1bc9b2a0b_2017-04-24,8.9231
air_04cae7c1bc9b2a0b_2017-04-25,14.8817
air_04cae7c1bc9b2a0b_2017-04-26,13.9288
air_04cae7c1bc9b2a0b_2017-04-27,11.9226
air_04cae7c1bc9b2a0b_2017-04-28,26.3308
air_04cae7c1bc9b2a0b_2017-04-29,33.2897
air_04cae7c1bc9b2a0b_2017-04-30,15.2573
air_04cae7c1bc9b2a0b_2017-05-01,8.9231
air_04cae7c1bc9b2a0b_2017-05-02,12.8817
air_04cae7c1bc9b2a0b_2017-05-03,24.4000
air_04cae7c1bc9b2a0b_2017-05-04,40.8147
air_04cae7c1bc9b2a0b_2017-05-05,47.3559
air_04cae7c1bc9b2a0b_2017-05-06,33.2897
air_04cae7c1bc9b2a0b_2017-05-07,15.2573
air_04cae7c1bc9b2a0b_2017-05-08,8.9231
air_04cae7c1bc9b2a0b_2017-05-09,12.8817
air_04cae7c1bc9b2a0b_2017-05-10,13.5288
air_04cae7c1bc9b2a0b_2017-05-11,11.9226
air_04cae7c1bc9b2a0b_2017-05-12,26.3308
air_04cae7c1bc9b2a0b_2017-05-13,33.2897
air_04cae7c1bc9b2a0b_2017-05-14,15.2573
air_04cae7c1bc9b2a0b_2017-05-15,8.9231
air_04cae7c1bc9b2a0b_2017-05-16,12.8817
air_04cae7c1bc9b2a0b_2017-05-17,13.5288
air_04cae7c1bc9b2a0b_2017-05-18,11.9226
air_04cae7c1bc9b2a0b_2017-05-19,26.3308
air_04cae7c1bc9b2a0b_2017-05-20,34.2897
air_04cae7c1bc9b2a0b_2017-05-21,15.2573
air_04cae7c1bc9b2a0b_2017-05-22,8.9231
air_04cae7c1bc9b2a0b_2017-05-23,12.8817
air_04cae7c1bc9b2a0b_2017-05-24,13.5288
air_04cae7c1bc9b2a0b_2017-05-25,11.9226
air_04cae7c1bc9b2a0b_2017-05-26,26.3308
air_04cae7c1bc9b2a0b_2017-05-27,33.2897
air_04cae7c1bc9b2a0b_2017-05-28,15.2573
air_04cae7c1bc9b2a0b_2017-05-29,8.9231
air_04cae7c1bc9b2a0b_2017-05-30,12.8817
air_04cae7c1bc9b2a0b_2017-05-31,13.5288
air_0585011fa179bcce_2017-04-23,4.0290
air_0585011fa179bcce_2017-04-24,3.4746
air_0585011fa179bcce_2017-04-25,2.8860
air_0585011fa179bcce_2017-04-26,4.5063
air_0585011fa179bcce_2017-04-27,5.5164
air_0585011fa179bcce_2017-04-28,4.2677
air_0585011fa179bcce_2017-04-29,6.9427
air_0585011fa179bcce_2017-04-30,4.0290
air_0585011fa179bcce_2017-05-01,3.4746
air_0585011fa179bcce_2017-05-02,2.8860
air_0585011fa179bcce_2017-05-03,4.5063
air_0585011fa179bcce_2017-05-04,5.8296
air_0585011fa179bcce_2017-05-05,7.5192
air_0585011fa179bcce_2017-05-06,6.9427
air_0585011fa179bcce_2017-05-07,4.0290
air_0585011fa179bcce_2017-05-08,3.4746
air_0585011fa179bcce_2017-05-09,2.8860
air_0585011fa179bcce_2017-05-10,4.5063
air_0585011fa179bcce_2017-05-11,5.5164
air_0585011fa179bcce_2017-05-12,4.2677
air_0585011fa179bcce_2017-05-13,6.9427
air_0585011fa179bcce_2017-05-14,4.0290
air_0585011fa179bcce_2017-05-15,3.4746
air_0585011fa179bcce_2017-05-16,2.8860
air_0585011fa179bcce_2017-05-17,4.5063
air_0585011fa179bcce_2017-05-18,5.5164
air_0585011fa179bcce_2017-05-19,4.2677
air_0585011fa179bcce_2017-05-20,6.9427
air_0585011fa179bcce_2017-05-21,4.0290
air_0585011fa179bcce_2017-05-22,3.4746
air_0585011fa179bcce_2017-05-23,2.8860
air_0585011fa179bcce_2017-05-24,4.5063
air_0585011fa179bcce_2017-05-25,5.5164
air_0585011fa179bcce_2017-05-26,4.2677
air_0585011fa179bcce_2017-05-27,6.9427
air_0585011fa179bcce_2017-05-28,4.0290
air_0585011fa179bcce_2017-05-29,3.4746
air_0585011fa179bcce_2017-05-30,2.8860
air_0585011fa179bcce_2017-05-31,4.5063
air_05c325d315cc17f5_2017-04-23,27.8625
air_05c325d315cc17f5_2017-04-24,18.9652
air_05c325d315cc17f5_2017-04-25,19.8126
air_05c325d315cc17f5_2017-04-26,22.7511
air_05c325d315cc17f5_2017-04-27,20.9479
air_05c325d315cc17f5_2017-04-28,22.4880
air_05c325d315cc17f5_2017-04-29,30.7554
air_05c325d315cc17f5_2017-04-30,27.8625
air_05c325d315cc17f5_2017-05-01,18.9652
air_05c325d315cc17f5_2017-05-02,19.8126
air_05c325d315cc17f5_2017-05-03,29.0064
air_05c325d315cc17f5_2017-05-04,38.9389
air_05c325d315cc17f5_2017-05-05,30.5658
air_05c325d315cc17f5_2017-05-06,30.7554
air_05c325d315cc17f5_2017-05-07,27.8625
air_05c325d315cc17f5_2017-05-08,18.9652
air_05c325d315cc17f5_2017-05-09,19.8126
air_05c325d315cc17f5_2017-05-10,22.7511
air_05c325d315cc17f5_2017-05-11,20.9479
air_05c325d315cc17f5_2017-05-12,22.4880
air_05c325d315cc17f5_2017-05-13,30.7554
air_05c325d315cc17f5_2017-05-14,27.8625
air_05c325d315cc17f5_2017-05-15,18.9652
air_05c325d315cc17f5_2017-05-16,19.8126
air_05c325d315cc17f5_2017-05-17,22.7511
air_05c325d315cc17f5_2017-05-18,20.9479
air_05c325d315cc17f5_2017-05-19,22.4880
air_05c325d315cc17f5_2017-05-20,30.7554
air_05c325d315cc17f5_2017-05-21,27.8625
air_05c325d315cc17f5_2017-05-22,18.9652
air_05c325d315cc17f5_2017-05-23,19.8126
air_05c325d315cc17f5_2017-05-24,22.7511
air_05c325d315cc17f5_2017-05-25,20.9479
air_05c325d315cc17f5_2017-05-26,22.4880
air_05c325d315cc17f5_2017-05-27,30.7554
air_05c325d315cc17f5_2017-05-28,27.8625
air_05c325d315cc17f5_2017-05-29,18.9652
air_05c325d315cc17f5_2017-05-30,19.8126
air_05c325d315cc17f5_2017-05-31,22.7511
air_0647f17b4dc041c8_2017-04-23,51.7021
air_0647f17b4dc041c8_2017-04-24,29.1986
air_0647f17b4dc041c8_2017-04-25,2.8212
air_0647f17b4dc041c8_2017-04-26,31.0869
air_0647f17b4dc041c8_2017-04-27,31.6752
air_0647f17b4dc041c8_2017-04-28,33.1929
air_0647f17b4dc041c8_2017-04-29,51.4341
air_0647f17b4dc041c8_2017-04-30,51.7021
air_0647f17b4dc041c8_2017-05-01,29.1986
air_0647f17b4dc041c8_2017-05-02,2.8212
air_0647f17b4dc041c8_2017-05-03,71.0000
air_0647f17b4dc041c8_2017-05-04,51.2287
air_0647f17b4dc041c8_2017-05-05,60.6809
air_0647f17b4dc041c8_2017-05-06,51.4341
air_0647f17b4dc041c8_2017-05-07,51.7021
air_0647f17b4dc041c8_2017-05-08,29.1986
air_0647f17b4dc041c8_2017-05-09,2.8212
air_0647f17b4dc041c8_2017-05-10,31.0869
air_0647f17b4dc041c8_2017-05-11,31.6752
air_0647f17b4dc041c8_2017-05-12,33.1929
air_0647f17b4dc041c8_2017-05-13,51.4341
air_0647f17b4dc041c8_2017-05-14,51.7021
air_0647f17b4dc041c8_2017-05-15,29.1986
air_0647f17b4dc041c8_2017-05-16,2.8212
air_0647f17b4dc041c8_2017-05-17,31.0869
air_0647f17b4dc041c8_2017-05-18,31.6752
air_0647f17b4dc041c8_2017-05-19,33.1929
air_0647f17b4dc041c8_2017-05-20,51.4341
air_0647f17b4dc041c8_2017-05-21,51.7021
air_0647f17b4dc041c8_2017-05-22,29.1986
air_0647f17b4dc041c8_2017-05-23,2.8212
air_0647f17b4dc041c8_2017-05-24,31.0869
air_0647f17b4dc041c8_2017-05-25,31.6752
air_0647f17b4dc041c8_2017-05-26,33.1929
air_0647f17b4dc041c8_2017-05-27,51.4341
air_0647f17b4dc041c8_2017-05-28,51.7021
air_0647f17b4dc041c8_2017-05-29,29.1986
air_0647f17b4dc041c8_2017-05-30,2.8212
air_0647f17b4dc041c8_2017-05-31,31.0869
air_064e203265ee5753_2017-04-23,24.5627
air_064e203265ee5753_2017-04-24,14.6761
air_064e203265ee5753_2017-04-25,18.6543
air_064e203265ee5753_2017-04-26,8.1443
air_064e203265ee5753_2017-04-27,20.1309
air_064e203265ee5753_2017-04-28,20.1322
air_064e203265ee5753_2017-04-29,27.3979
